Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.05     53.41     0.03   745717     0.00     0.00  compute_live
  0.05     53.44     0.03   723406     0.00     0.00  check_promoted_subreg
  0.05     53.47     0.03   715939     0.00     0.00  choose_best_insn
  0.05     53.50     0.03   578569     0.00     0.00  gsi_remove
  0.05     53.53     0.03   543016     0.00     0.00  bitmap_and_compl
  0.05     53.56     0.03   525003     0.00     0.00  mark_def_interesting
  0.05     53.59     0.03   508098     0.00     0.00  make_ssa_name_fn
  0.05     53.62     0.03   496509     0.00     0.00  recog_for_combine
  0.05     53.65     0.03   410511     0.00     0.00  true_dependence
  0.05     53.68     0.03   401184     0.00     0.00  schedule_on_fences
  0.05     53.71     0.03   357361     0.00     0.00  sel_init_new_insn
  0.05     53.74     0.03   227493     0.00     0.00  canonicalize_condition
  0.05     53.77     0.03   152358     0.00     0.00  create_basic_block_structure
  0.05     53.80     0.03   138099     0.00     0.00  put_TImodes
  0.05     53.83     0.03   131165     0.00     0.00  extract_new_fences_from
  0.05     53.86     0.03    31644     0.00     0.00  gimple_find_edge_insert_loc
  0.05     53.89     0.03       78     0.00     0.00  perform_intra_sra
  0.05     53.92     0.03       78     0.00     0.00  reg_scan
  0.05     53.95     0.03       76     0.00     0.00  df_chain_remove_problem
  0.05     53.98     0.03       76     0.00     0.01  reload_cse_regs_1
  0.05     54.01     0.03       40     0.00     0.01  execute_build_cfg
  0.05     54.04     0.03       38     0.00     0.00  find_replaceable_exprs
  0.05     54.07     0.03       38     0.00     0.00  ira_sort_regnos_for_alter_reg
