Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.25     0.00       23     0.00     0.00  Perl_save_I16
  0.00      0.25     0.00       23     0.00     0.00  S_sublex_push
  0.00      0.25     0.00       21     0.00     0.00  S_SvREFCNT_dec
  0.00      0.25     0.00       21     0.00     0.00  S_ao
  0.00      0.25     0.00       20     0.00     0.00  Perl_ck_stringify
  0.00      0.25     0.00       20     0.00     0.00  Perl_gv_try_downgrade
  0.00      0.25     0.00       20     0.00     0.00  Perl_newCVREF
  0.00      0.25     0.00       20     0.00     0.00  Perl_rv2cv_op_cv
  0.00      0.25     0.00       19     0.00     0.00  Perl_ck_sassign
  0.00      0.25     0.00       19     0.00     0.00  Perl_mg_find
  0.00      0.25     0.00       19     0.00     0.00  S_alloc_LOGOP
  0.00      0.25     0.00       19     0.00     0.00  S_checkcomma
  0.00      0.25     0.00       19     0.00     0.00  S_maybe_targlex
  0.00      0.25     0.00       19     0.00     0.00  S_mg_findext_flags
  0.00      0.25     0.00       19     0.00     0.00  S_scalarboolean
  0.00      0.25     0.00       19     0.00     0.00  S_search_const
  0.00      0.25     0.00       18     0.00     0.00  PerlIO_layer_fetch
  0.00      0.25     0.00       18     0.00     0.00  Perl_ck_concat
  0.00      0.25     0.00       18     0.00     0.00  Perl_scan_num
  0.00      0.25     0.00       18     0.00     0.00  S_newSV_maybe_utf8
  0.00      0.25     0.00       18     0.00     0.00  S_new_slab
  0.00      0.25     0.00       17     0.00     0.00  Perl_av_push
  0.00      0.25     0.00       17     0.00     0.00  S_SvREFCNT_inc_NN
  0.00      0.25     0.00       17     0.00     0.00  S_maybe_multideref
  0.00      0.25     0.00       17     0.00     0.66  S_new_logop
  0.00      0.25     0.00       16     0.00     0.00  Perl_ck_listiob
  0.00      0.25     0.00       16     0.00     0.00  Perl_rsignal_state
  0.00      0.25     0.00       16     0.00     0.00  S_scalar_mod_type
  0.00      0.25     0.00       15     0.00     0.00  PerlIOBase_fileno
  0.00      0.25     0.00       15     0.00     0.00  PerlIOUnix_fileno
  0.00      0.25     0.00       15     0.00     0.00  Perl_regnext
  0.00      0.25     0.00       15     0.00     0.00  S_SvREFCNT_dec
  0.00      0.25     0.00       14     0.00     0.61  Perl_newGVREF
  0.00      0.25     0.00       14     0.00     0.00  S_SvREFCNT_dec
  0.00      0.25     0.00       14     0.00     0.00  S_gv_stashsvpvn_cached
  0.00      0.25     0.00       13     0.00     0.00  Perl_grok_numeric_radix
  0.00      0.25     0.00       13     0.00     0.00  Perl_op_scope
  0.00      0.25     0.00       12     0.00     0.00  PerlIOBase_pushed
  0.00      0.25     0.00       12     0.00     0.00  PerlIO_arg_fetch
  0.00      0.25     0.00       12     0.00     0.00  PerlIO_default_layers
  0.00      0.25     0.00       12     0.00     0.00  PerlIO_pop
  0.00      0.25     0.00       12     0.00     0.00  PerlIO_push
  0.00      0.25     0.00       12     0.00     0.00  Perl_gv_stashsv
  0.00      0.25     0.00       12     0.00     0.66  Perl_newLOGOP
  0.00      0.25     0.00       12     0.00     0.00  S_reg_node
  0.00      0.25     0.00       12     0.00     0.00  S_regnode_guts
  0.00      0.25     0.00       11     0.00     0.00  Perl_create_eval_scope
  0.00      0.25     0.00       11     0.00     0.00  Perl_delete_eval_scope
  0.00      0.25     0.00       11     0.00     0.00  Perl_grok_number
  0.00      0.25     0.00       11     0.00     0.00  Perl_grok_number_flags
  0.00      0.25     0.00       11     0.00     0.00  Perl_pad_swipe
  0.00      0.25     0.00       11     0.00     0.00  Perl_pp_null
  0.00      0.25     0.00       11     0.00     0.00  Perl_pp_stringify
  0.00      0.25     0.00       11     0.00     0.00  Perl_sv_copypv_flags
  0.00      0.25     0.00       11     0.00     0.00  S_SvREFCNT_dec
  0.00      0.25     0.00       11     0.00     0.00  S_tokeq
  0.00      0.25     0.00       10     0.00     0.00  PerlIO_list_push
  0.00      0.25     0.00       10     0.00     0.00  S_hfreeentries
  0.00      0.25     0.00       10     0.00     0.00  S_hv_free_ent_ret
  0.00      0.25     0.00        9     0.00     0.00  PerlIOUnix_refcnt_dec
  0.00      0.25     0.00        9     0.00     0.00  PerlIOUnix_refcnt_inc
  0.00      0.25     0.00        9     0.00     0.00  S_gv_stashpvn_internal
  0.00      0.25     0.00        8     0.00     0.00  PerlIO_define_layer
  0.00      0.25     0.00        8     0.00     0.00  PerlIO_list_free
  0.00      0.25     0.00        8     0.00     0.00  Perl_newGVOP
  0.00      0.25     0.00        8     0.00     0.00  Perl_padnamelist_store
  0.00      0.25     0.00        8     0.00     0.00  Perl_sawparens
  0.00      0.25     0.00        8     0.00     0.00  S_mulexp10
  0.00      0.25     0.00        7     0.00     0.00  Perl_hv_iterkey
  0.00      0.25     0.00        7     0.00     0.00  Perl_mro_get_linear_isa
  0.00      0.25     0.00        7     0.00     0.00  S_modkids
  0.00      0.25     0.00        7     0.00     0.00  S_mro_get_linear_isa_dfs
  0.00      0.25     0.00        6     0.00     0.00  PerlIOBase_close
  0.00      0.25     0.00        6     0.00     0.00  PerlIOBase_popped
  0.00      0.25     0.00        6     0.00     0.00  PerlIOBuf_close
  0.00      0.25     0.00        6     0.00     0.00  PerlIOBuf_open
  0.00      0.25     0.00        6     0.00     0.00  PerlIOBuf_popped
  0.00      0.25     0.00        6     0.00     0.00  PerlIOBuf_pushed
  0.00      0.25     0.00        6     0.00     0.00  PerlIOUnix_close
  0.00      0.25     0.00        6     0.00     0.00  PerlIOUnix_open
  0.00      0.25     0.00        6     0.00     0.00  PerlIOUnix_pushed
  0.00      0.25     0.00        6     0.00     0.00  PerlIOUnix_setfd
  0.00      0.25     0.00        6     0.00     0.00  PerlIOUnix_tell
  0.00      0.25     0.00        6     0.00     0.00  PerlIO__close
  0.00      0.25     0.00        6     0.00     0.00  PerlIO_allocate
  0.00      0.25     0.00        6     0.00     0.00  PerlIO_default_layer
  0.00      0.25     0.00        6     0.00     0.00  PerlIO_openn
  0.00      0.25     0.00        6     0.00     0.00  PerlIO_resolve_layers
  0.00      0.25     0.00        6     0.00     0.00  Perl_PerlIO_close
  0.00      0.25     0.00        6     0.00     0.00  Perl_PerlIO_context_layers
  0.00      0.25     0.00        6     0.00     0.00  Perl_cast_iv
  0.00      0.25     0.00        6     0.00     0.00  Perl_ck_lfun
  0.00      0.25     0.00        6     0.00     0.00  Perl_hv_clear
  0.00      0.25     0.00        6     0.00     0.00  Perl_hv_placeholders_set
  0.00      0.25     0.00        6     0.00     0.00  Perl_mro_set_private_data
