Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.00     240/240         lzma2_header_lzma [127]
-----------------------------------------------
                0.25   17.41    5800/5800        lzma2_encode [6]
[7]     86.0    0.25   17.41    5800         lzma_lzma_encode [7]
                0.20   12.11 40984512/40984512     lzma_lzma_optimum_normal [8]
                3.67    0.32 40990979/40990979     rc_encode [18]
                0.08    0.96 40984512/40984512     encode_symbol [25]
                0.08    0.00 40990312/40990312     rc_pending [43]
                0.00    0.01       1/1           encode_init [67]
                0.00    0.00    5800/5800        mf_position [116]
                0.00    0.00     667/667         rc_flush [121]
-----------------------------------------------
                0.20   12.11 40984512/40984512     lzma_lzma_encode [7]
[8]     59.9    0.20   12.11 40984512         lzma_lzma_optimum_normal [8]
                0.31   10.20 37465743/37465743     helper1 [13]
                0.01    1.18 4416431/41882082     lzma_mf_find [11]
                0.22    0.14 4416339/4416339     helper2 [33]
                0.01    0.01   20613/20613       fill_align_prices [63]
                0.00    0.02    3089/3089        fill_distances_prices [64]
                0.00    0.00 4416339/41882081     mf_ptr [56]
                0.00    0.00 4416339/41882082     mf_avail [70]
                0.00    0.00 1579041/1579041     backward [88]
-----------------------------------------------
                0.00    5.77       1/2           main [1]
                0.00    5.77       1/2           spec_mem_load [17]
[9]     56.2    0.00   11.54       2         spec_uncompress [9]
                0.00   11.54       2/2           uncompressStream [10]
-----------------------------------------------
                0.00   11.54       2/2           spec_uncompress [9]
[10]    56.2    0.00   11.54       2         uncompressStream [10]
                0.00   11.54   13981/23420       lzma_code [2]
                0.00    0.00   13802/24046       spec_mem_feof [111]
                0.00    0.00    7082/12066       spec_mem_fwrite [113]
                0.00    0.00    6901/12021       spec_mem_fread [114]
                0.00    0.00       2/2           init_decoder [178]
                0.00    0.00       2/3           lzma_end [165]
-----------------------------------------------
                0.01    1.18 4416431/41882082     lzma_lzma_optimum_normal [8]
                0.08   10.02 37465651/41882082     helper1 [13]
[11]    55.0    0.09   11.20 41882082         lzma_mf_find [11]
                4.09    7.12 41882082/41882082     lzma_mf_bt4_find [12]
                0.00    0.00     396/41943436     mf_avail [52]
                0.00    0.00     396/41943433     mf_ptr [98]
-----------------------------------------------
                4.09    7.12 41882082/41882082     lzma_mf_find [11]
[12]    54.6    4.09    7.12 41882082         lzma_mf_bt4_find [12]
                7.00    0.00 41881779/41881779     bt_find_func [16]
